Show,Episode Number,Episode,Played,Unnamed: 4,,,
Dragon Ball,153,"The End, The Beginning",no,,,,
,,,,,,,
Zoids New Century Zero,1,"Commence Battle, Attack Liger Zero",yee,,,,
Zoids New Century Zero,2,New Partners Vs. Naomi The Red Comet,yee,,,,
Zoids New Century Zero,3,"The Prince Arrives, Harry Champ",yee,,,,
Zoids New Century Zero,4,"Unsanctioned Battle, The Mysterious Backdraft",no,,,,
Zoids New Century Zero,5,"High Speed Battle, Transforming Into Zero Jager",no,,,,
Zoids New Century Zero,6,"The Dark Giant, The Invincible Elephander Giant",no,,,,
Zoids New Century Zero,7,"The Desert Gang, The Hovercargo's In Danger",no,,,,
Zoids New Century Zero,8,"Invasion Of The Fierce Tigers, Transform To Zero Schneider",no,,,,
Zoids New Century Zero,9,"The Princess Arrives, Mary Champ",no,,,,
Zoids New Century Zero,10,"Desert Tusk, Assault Of The War Sharks",no,,,,
Zoids New Century Zero,11,"The Sensational Three, Rematch With Jack Cisco",no,,,,
Zoids New Century Zero,12,"Zero Is Stolen, The Fiery Battle",no,,,,
Zoids New Century Zero,13,"The Brave Wild Eagle, The Raynos Vs. The Zabats",no,,,,
Zoids New Century Zero,14,"Frightday The 13th, Ready Ahhh",no,,,,
Zoids New Century Zero,15,"Layon Returns, Anti-gravity Catastrophe",no,,,,
Zoids New Century Zero,16,"The Red Rival, Leon Toros Returns!",no,,,,
Zoids New Century Zero,17,"Warriors On Vacation, The Storm Sworders",no,,,,
Zoids New Century Zero,18,"My Love, The Judge",no,,,,
Zoids New Century Zero,19,"The Third Conversion, Zero Panzer's Debut!",no,,,,
Zoids New Century Zero,20,"The Shadow Fox, Brad's Betrayal",no,,,,
Zoids New Century Zero,21,"Harry's Disaster, Dr. Laon Traps Toros!",no,,,,
Zoids New Century Zero,22,"The Dragon Under The Sea, In Search Of The Ultimate X",no,,,,
Zoids New Century Zero,23,"The Dragon Awakens, The Berserk Fury Enters The Fray",no,,,,
Zoids New Century Zero,24,"The Tournament Of Heroes, The Royal Cup",no,,,,
Zoids New Century Zero,25,"Survival, The Mystery Of The Ultimate X",no,,,,
Zoids New Century Zero,26,"The Wind, The Cloud And Adventure",no,,,,
,,,,,,,
Cowboy Bebop,1,Asteroid Blues,yee,,,,
Cowboy Bebop,2,Stray Dog Strut,yee,,,,
Cowboy Bebop,3,Honky Tonk Women,yee,,,,
Cowboy Bebop,4,Gateway Shuffle,yee,,,,
Cowboy Bebop,5,Ballad Of Fallen Angels,yee,,,,
Cowboy Bebop,6,Sympathy For The Devil,yee,,,,
Cowboy Bebop,7,Heavy Metal Queen,no,,,,
Cowboy Bebop,8,Waltz For Venus,no,,,,
Cowboy Bebop,9,Jamming With Edward,no,,,,
Cowboy Bebop,10,Ganymede Elegy,no,,,,
Cowboy Bebop,11,Toys In The Attic,no,,,,
Cowboy Bebop,12,Jupiter Jazz,no,,,,
Cowboy Bebop,13,Jupiter Jazz (part 2),no,,,,
Cowboy Bebop,14,Bohemian Rhapsody,no,,,,
Cowboy Bebop,15,My Funny Valentine,no,,,,
Cowboy Bebop,16,Black Dog Serenade,no,,,,
Cowboy Bebop,17,Mushroom Samba,no,,,,
Cowboy Bebop,18,Speak Like A Child,no,,,,
Cowboy Bebop,19,Wild Horses,no,,,,
Cowboy Bebop,20,Pierrot Le Fou,no,,,,
Cowboy Bebop,21,Boogie Woogie Feng Shui,no,,,,
Cowboy Bebop,22,Cowboy Funk,no,,,,
Cowboy Bebop,23,Brain Scratch,no,,,,
Cowboy Bebop,24,Hard Luck Woman,no,,,,
Cowboy Bebop,25,The Real Folk Blues,no,,,,
,,,,,,,
Yu Yu Hakusho,1,Surprised To Be Dead,yee,,,,
Yu Yu Hakusho,2,Koenma Appears,yee,,,,
Yu Yu Hakusho,3,"Kuwabara, A Promise Between Men",yee,,,,
Yu Yu Hakusho,4,Requirements For Lovers,yee,,,,
Yu Yu Hakusho,5,Yusuke's Back,yee,,,,
Yu Yu Hakusho,6,Three Monsters,yee,,,,
Yu Yu Hakusho,7,Gouki And Kurama,yee,,,,
Yu Yu Hakusho,8,The Three Eyes Of Hiei,yee,,,,
Yu Yu Hakusho,9,The Search Begins,yee,,,,
Yu Yu Hakusho,10,Kuwabara's Spirit Sword,yee,,,,
Yu Yu Hakusho,11,Hard Fights For Yusuke,yee,,,,
Yu Yu Hakusho,12,"Rando Rises, Kuwabara Falls",yee,,,,
Yu Yu Hakusho,13,"Yusuke Vs. Rando, 99 Attacks",yee,,,,
Yu Yu Hakusho,14,The Beasts Of Maze Castle,yee,,,,
Yu Yu Hakusho,15,"Genbu, The Stone Beast",yee,,,,
